method,N,rmse_mean,rmse_std,mae_mean,mae_std,count,scale_factor
copy-empty,0,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,1,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,3,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,5,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,10,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,15,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,20,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,25,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,30,4.117086410522461,0.0,3.372859477996826,0.0,5,4
copy-empty,35,4.117086410522461,0.0,3.372859477996826,0.0,5,4
gp,0,42.88346862792969,0.0,42.55303192138672,0.0,5,4
gp,1,5.31632137298584,0.0,4.4357686042785645,0.0,5,4
gp,3,5.580842971801758,0.0,4.728267669677734,0.0,5,4
gp,5,5.209690570831299,0.0,4.239317417144775,0.0,5,4
gp,10,3.9457390308380127,0.0,3.2544333934783936,0.0,5,4
gp,15,3.119784355163574,0.0,2.4241464138031006,0.0,5,4
gp,20,2.9378950595855713,0.0,2.189195394515991,0.0,5,4
gp,25,2.0354056358337402,0.0,1.5282857418060303,0.0,5,4
gp,30,1.8586311340332031,0.0,1.235114574432373,0.0,5,4
gp,35,1.3474246263504028,0.0,0.8244717717170715,0.0,5,4
worldmodel,0,3.961331605911255,0.0,3.0851879119873047,0.0,5,4
worldmodel,1,1.0117051601409912,0.0175674706697464,0.6639688014984131,0.004815464839339256,5,4
worldmodel,3,1.0291125774383545,0.017694363370537758,0.6750993728637695,0.00876861996948719,5,4
worldmodel,5,1.019536018371582,0.04856031760573387,0.6747981309890747,0.01788419671356678,5,4
worldmodel,10,0.8364551663398743,0.017484288662672043,0.5883352160453796,0.011663256213068962,5,4
worldmodel,15,0.8372400999069214,0.023858854547142982,0.5888997316360474,0.015134427696466446,5,4
worldmodel,20,0.7892426252365112,0.017866183072328568,0.5704594850540161,0.012878707610070705,5,4
worldmodel,25,0.790713369846344,0.0145791694521904,0.5728291273117065,0.01495196670293808,5,4
worldmodel,30,0.7831910848617554,0.008798930794000626,0.5711990594863892,0.0061112456023693085,5,4
worldmodel,35,0.7627572417259216,0.007899791933596134,0.5538290739059448,0.007043369580060244,5,4
worldmodel-dream,0,3.961331605911255,0.0,3.0851879119873047,0.0,5,4
worldmodel-dream,1,1.0292017459869385,0.025762801989912987,0.6741894483566284,0.018820473924279213,5,4
worldmodel-dream,3,0.9956662058830261,0.02763613685965538,0.6566709876060486,0.009798960760235786,5,4
worldmodel-dream,5,0.977974534034729,0.02376164123415947,0.6442495584487915,0.014136840589344501,5,4
worldmodel-dream,10,0.9627736806869507,0.020265106111764908,0.6361144185066223,0.0014388749841600657,5,4
worldmodel-dream,15,0.8921977877616882,0.05685598403215408,0.6043156385421753,0.02507445588707924,5,4
worldmodel-dream,20,0.8993160128593445,0.03944873437285423,0.6043456196784973,0.015701618045568466,5,4
worldmodel-dream,25,0.8995410799980164,0.049275923520326614,0.6023727059364319,0.0187784843146801,5,4
worldmodel-dream,30,0.8695926666259766,0.08313220739364624,0.5838664770126343,0.032077327370643616,5,4
worldmodel-dream,35,0.8617972135543823,0.04003627598285675,0.5803640484809875,0.01441066712141037,5,4
